row_number,polarity,text
114,1," If we think of evolution, we can think of financial institutions, major spenders and in fact, if we look at the startup scene today, it is in fact the most frequent result for a successful FinTech startup to be acquired by a major financial institution"
115,1," The numbers of FinTech startups that become large, successful businesses stand alone, like Bloomberg, is, as with any other industry relatively small, but this is having a major transformative effect in a good way on traditional financial services firms"
116,1," After all, if we think of banks insurance companies, they have traditionally spent a lot of money on research, but this is research to support sales"
117,1," This is not research and development, about better provision of financial services and the competition from both IT"
118,1," Firms, as well as startups, is driving traditional financial services firms to look at their operations in an entirely different way"
119,1," It companies in some ways, if we think of IT companies the ultimate objective, is to achieve with financial services what Apple did to the music"
120,1," In other words, the view is that, if we're thinking about financials today, Financial Services is primarily management transmission analysis of data and in many ways it may well be the case that IT firms are actually better suited to this sort of business than financial services firms, and Certainly, if we look at the example of Alibaba in China, Alibaba has definitely had this sort of impact on the Chinese financial services system and finally, startups startups are a new area of competition that is impacting on both banks and IT companies"
121,1," And if we look at startups, it's important to realize that startups are not just focusing on things like customer interface or mobile payments, that many startups are looking at things like secure communications, cross-border payments, secured settlement, quantitative risk management, algorithmic trading"
122,1," So when we're thinking about startups startups are involved in technology in all aspects of the financial services sector, not just things like alternative financing, p2p and crowd foot"
123,1," So if we look at technology in the financial services sector today, you can see a number of different trends"
124,1, I think the key message is that this FinTech transformation process is impacting all areas of the financial sector
125,1," If we look at finance and investment, it is not just the advent of alternative mechanisms"
126,1," It'S not even just digitalization of financing things like high frequency and algorithmic trading, but going beyond that"
127,1, One of the most interesting developments is in the context of robo-advisor e-business
128,1," After all, if we think of some of the potential of technology, it is actually to better serve those that may not be served at all to them and we think of the traditional financial services industry for big firms"
129,1," It is increasingly the case that, in order to justify the costs of a human being, the amount of assets available to the investor have to be quite substantial"
130,1, Many firms are now putting a minimum of a million to two million in investable assets to actually access a human being in terms of financial advice
131,1, At the same time - and this of course has issues for for universities
132,1," But if we think of what outside of that range is available in terms of human financial advice, it may well be the case that a computerised asset allocation system recommending the lowest cost products to deliver the best balance in terms of allocation is actually going to be More beneficial to most people than the advice that they might receive from a human financial services invention and at the same time, when we are talking about investment amounts that are relatively small a few dollars"
133,1, The costs involved means that technology is in many ways
134,1," The only approach it's interesting to see in this context than amongst Goldman Sachs's, most recent purchases, an online bank to access deposits, all over United States and a robo advisory for the view being from the standpoint of Goldman Sachs, that they should be able to use fewer People to access far larger amounts of money via technology, and that raises a range of interesting questions, operations and risk management"
135,1," Not only our financial institutions are ready, huge spenders in the context of IT, but as a result of competition, we are seeing increased spending from financial institutions, and this is an area"
136,1," If we look at Asia, Pacific asia-pacific financial institutions have traditionally spent far less on IT than financial institutions from the United States and Europe, which means that, even in the context of traditional financial services, better using IT to manage their own operations and risks, there are massive Opportunities in this region, payments and infrastructure - I've mentioned already electronic payment systems such as Swift"
137,1," But of course, the new developments were seeing we're seeing things such as the investigation by Swift of the use of blockade trading technology for payments, we're seeing from ASX here in Australia from NASDAQ OMX investigations about using blockchain in the context of custody settlement clearing of securities"
138,1," So very much if you think about it, a little bit from the standpoint of things such as OTC derivatives settlement"
139,1, Things like blockchain actually are an approach that hadn't been available and widely understood amongst regulators
140,1, Eight years ago may have provided a much better solution than the solution which have in fact been adopted: data security and monetization
141,1," I think there are two sides of this and of course, many of us are familiar that a large number of phantoms are based upon analysis of data, in particular looking for new ways of determining creditworthiness or pricing, financial services to consumers"
142,1," Large numbers of thin texts that have come up with some sort of correlation between likelihood of repayment and therefore ability to borrow now one of the questions about this is how many of these will perform in the context of a downturn, and that is very much an Open question but at the same time, this idea of data place"
143,1," If we look at our lembaga in China, Alibaba thinks of itself primarily as a data company"
144,1, It is collecting massive volumes of data on everything
145,1," It is then, using that data analyzing patterns to be able to make judgments from things like restaurant and hotel reservation cubes to things like trade financing to things like investments, that is using data in a different way than traditional financial services"
146,1, Firms have - and this is one of the core changes taking place in the post-crisis environment
147,1," At the same time, traditional financial institutions have massive amounts of data built up over long periods of time, but traditionally they're actually very poor at using it, and that is something that we're seeing"
148,1, An increasing number of startups working on is mechanisms to analyze and monetize
149,0," Not just other data but data by financial institutions themselves, but of course all of this raises increasing security concerns and the bangladesh bank heist is only the most high-profile recent example of that"
150,0," Certainly in the United States, financial services is now viewed as a national security issue"
151,1," That means that, certainly, from the standpoint of those of you involved in compliance you've seen over the past year and a half and ever-increasing volume of new rules and regulations dealing with effectively cyber security in financial service, and this, of course, if we think about the financial Sector, this is one of the biggest risks going forward"
152,1," After all, financial services today is almost entirely a digital industry"
153,1," The thing about, often the only time for most of us, at which point Finance ceases to be digital and becomes a physical transaction, is when we pull cash out of the ATM machine"
154,1," Prior to that, every aspect has been digitized in some ways"
155,1, It'S good news that large financial institute IT systems are such a mess
156,1," Why are they such a mess? Because very often large financial institutions grew by way of acquisition each time you acquired another firm, you simply bolted on the IT systems of that firm"
157,1," What that means is that for most large financial institutions today, not only do they not have integrated systems, in fact, they very often have conflicting systems that cannot communicate with one another"
158,1, That means that it's impossible to access and analyze the vast amounts of data that they might have
159,1," But it also means that from the standpoint of cybersecurity, because they have so many different in communicable systems internally, that they are less vulnerable to disruption, but as they integrated systems, which is for many major financial institutions, a headline objective over the next couple of years"
160,1," That will change, and certainly as we've seen with the Bangladesh Swift example, even systems like Swift, which we've come to rely on every day"
161,0," Even institutions like central banks, like the Federal Reserve Bank of New York, are not only increasingly subjected to attacks but are increasingly vulnerable to disruption from those and finally, the customer interface, the interaction between the smartphone and other devices with the consumer"
162,0," And we would suggest that all of these together raise issues that suggest that not only do regulators have to gain a better understanding of these techno logical, evolutionary trends in the financial sector, but that in fact, regulators need to be using technology far better in their own Operations, we look at the context of China, in particular as an interesting example, and what we're seeing is that, in the context of developing countries with high smartphone penetration rates and a generally inefficient existing financial system, that there is potential for quite high levels of disruption"
163,1," As a result of technological developments, this sorts of challenges and disruptions are more difficult in the context of developed countries, which already have relatively effective financial systems"
164,1," But China in particular, provides a good example of IT"
165,1, Firms outflanking traditional financial services firms because of the existing inefficiencies and problems in those traditional firms and in many ways becoming more important from the standpoint of the day-to-day lives of the largest number of people than traditional facts regulation to think about regulation
166,1," I'Ve Illustrated this previously, but one of the biggest challenges for regulators, this combination of new entrants and speed of development"
167,1, The fact that something can go from what we call too small to care to too big to fail in record time
168,1," Certainly, one can think of the example of Kenya that in pace at the mobile phone-based pain system now deals with something like 60 % of payments in the Kenyan economy"
169,1, That means that that has become a core infrastructure underlying the economy
170,1," It'S interesting Gates, Foundation last year, did an analysis of a number of these mobile based payment systems in developing countries and, in fact found that some of them have quite good security, including a pacer, but some of them actually have very poor security, which actually means that The level of risk inherent in the development of these alternatives may be just as high as the benefits that are being achieved"
171,0," This context of Pugh and speed is one a challenge for regulators, particularly large countries"
172,1," China provides an example whereby we can see that something can develop very rapidly to a very significant size before regulators even become aware of, and certainly this is one reason why China has more peer-to-peer lending platforms over 2000 than the rest of the world combined"
173,1," It'S also one of the reasons why, amongst these alternative financing vehicles in China, we've also seen some of the worst examples of fraud"
174,1," A firm that failed in beginning of this year had gone in a period of 18 months from nothing to 900,000 customers"
175,1, At the time it failed
176,1, The losses were approximately 5 billion u
177,1,s
178,1, dollars
179,1," What was the structure? A classic Ponzi scheme, in other words, money being taken from new customers and you to pay interest and returns to existing customers"
180,1," How did they grown so rapidly? Well, in fact, they had advertised on China state television, it's actually open to anybody, but by advertising on CCTV"
181,1," The implication was that the firm was somehow tied to the state and therefore safer, and this is the sort of concern not only from the standpoint of regulators but also from the standpoint of participants in the industry"
182,1," Initially in the Bitcoin example comes to mind like uber and, like a number of other examples, initial entrance often had in mind disrupting existing patterns often developed to avoid regulatory systems, but we're increasingly finding that startups in particular, would like to have licensing and registration"
183,1, Two reasons for that one: it provides some evidence that this is a valid business which is actually good from the standpoint of the start-up
184,1," Second, if we think of one of the greatest risks to new startup firms, it is a major froth"
185,0," In other words, if we were to see in a major market a major case of a start-up evolving into large losses amongst large numbers of customers, that could fundamentally impact on trust and confidence in the ability of startups to effectively match risk going forward and kill the Industry before it really has the chance to transform, we look at reg tech"
186,1," Red tech is about both dealing with regulation through technology, as well as, in particular regulators using technology"
187,1, Let me give you a couple of sides of this
188,1," I'Ve mentioned the fact that, in the context of traditional financial services firms, regulatory changes will invariably drive development of IT systems, but, let's think about in the context of the aftermath of the global financial crisis, large numbers of new reporting obligations, probably the biggest reporting obligation faced By any financial firm, whether or not it's established or startup is issues relating to know your customer, in particular money laundering and terrorist financing questions"
189,1," Now we certainly have reports in the context of Europe of warehouses, full of paper reports of suspicious transactions to regulators"
190,0," Regulators are buried in reports from financial institutions and much of that reporting ends up being used only after the fact something happens, and then you go dig through all of the reports to try to figure out what happened and who to pursue"
191,0," But from the standpoint of the regulatory system, it would be far better if you had a system which would analyze patterns as they developed in order to be able to highlight problems before they emerge"
192,1," Likewise, from the standpoint, this is one of the biggest cost problems"
193,0," How do you deal with customer acquisition and in many jurisdictions at some point, the customer is still going to have to physically turn up, show their physical ID and sign some visible forms"
194,0," That is something that not only is ineffective from the standpoint of the regulatory system, but it is a major barrier to the development of new entrants"
195,1," New approaches to this, and we see an interesting example of the use of technology to deal with some of these issues"
196,1," In the context of India, I mentioned the opening of over a billion accounts"
197,1," You combine that with biometric IDs and the fact that, once your ID has been matched to your account that that provides the essential mechanism to support, know your customer by other financial firms"
198,1," That, then, not only makes the process of customer acquisition easier for traditional firms, but it also opens it up to new interests, and that is one way in which we can see governments and regulators seeking to support mechanisms which will not impede the market but actually make Things work better"
199,1, Another example think about regulators use of data
200,1," This is not something new, we think to the United States, at least since the late 1980s"
201,1, The largest percentage of insider dealing in the United States have not come from tips or reports
202,1," They'Ve come from analysis of stock exchange trading records, in other words, if a merger is announced on this date at this time, all you have to do is analyze the previous couple of months of trading activity to see if there are any unusual spikes in purchasers or Sales of those shares - and that is how most insider dealing convictions in the United States are actually achieved"
203,1," Now, of course, in the context of high-frequency trading, one of the biggest challenges for the SEC today is that most trading doesn't take place on the exchange, and so we actually have an ongoing initiative where the SEC is now requiring not only reporting of all trading information"
204,1," On the exchange, but also all trading off the exchange, so that, then, you will be able to see in the same way for a dark pool or NECN"
205,1," If there was a spike in unusual activity before a material event took place, and that highlights it in the context of regulation, there is massive opportunity, particularly for regulators in developing countries, to use technology to enhance their own regulation, to support market development and also to enhance Financial stability, if we think of this region, one of the biggest challenges is that this region, unlike the US or Europe, is highly frightened"
206,0," This means that it is a real challenge to develop technology, which is usable across multiple jurisdictions and, after all, when we think of some of the ideas of democratization of Finance, many of those ideas are based on the idea that an electronic system should be able to Access customers anywhere and everywhere at all times, but the fact is that regulatory barriers make that impossible, not only in this region but actually in most regions of the world"
207,1, Europe
208,1," We at least have discussions, the united states, federal legislation and the context of the JOBS Act and others seeking approaches to deal with it"
209,1, But it is very much a problem in th
210,1,"Hello, everyone and welcome to this Bob scard webinar, I'm Nicole, miss Kelly, you're Bob Scott moderator today"
211,1, The subject for today's webinar is hot topics in fin tech law and we'll be looking at various key areas of financial technology law
212,1," From the viewpoint of banking, securities, insurance and payment cards, we will also be addressing topics such as cyber security, information, governance, mobile banking and cloud computing in order to gain a deeper understanding of these topics, as they relate to the use of technology in the highly regulated Financial services industry"
213,1," Finally, while largely a us focused webinar, the presentation will also address global issues and viewpoints so to introduce our speaker will be hearing shortly from Kevin Taylor partner at Schneider"
214,1," Harrison Siegel a Lewis, LLP Kevin is a highly regarded technology, outsourcing, an intellectual property attorney"
215,1," He has global experience with BPO and IT outsourcing technology, licensing, commercialization of intellectual property, complex commercial contracts, privacy and more"
216,1, It'S also appeared on Bloomberg Television
217,1, It'S been quoted in The Wall Street Journal
218,1," He is also the author of FinTech law, a guide to technology law in the financial services industry published by Bloomberg and BNA, but before we hear from Kevin there are a few housekeeping points to take note of"
219,1," If you have a question to ask our speaker, please go to the Box on your screen and simply type it in I'll use at the end of the hour-long webinar today time permitting, the entire webinar will also be recorded"
220,1," So if you miss anything or think a colleague would be interested later on, you'll be sent a link to the recording without further ado I'll hand over to our expert speaker today Kevin over to you"
221,1, Thank you very much
222,1, I first just want to say I'm very happy and excited to be able to speak with everybody today and talk about FinTech laws
223,1, It'S an area that I get very
224,1, They get very excited about it
225,1, There'S a lot going on
226,1, There'S been a lot going on and they'll be even more going on in in the future
227,1," I'Ve represented a lot of large financial institutions in the development and purchase of technology, but I've also represented smaller companies that sell to those larger institutions and I've seen a lot of different things over the years and finally, last year I decided to sit down and actually Write a book on it FinTech law, which, as was mentioned, you know it's published by Bloomberg BNA, but this is really just the start of it, because this area is changing so much now today, we're going to I'm going to talk and give you an overview of Certain areas, certain parts of this and I'm going to focus on mobile financial services, cloud computing information, governance, which actually has several different sub parts and then, lastly, I'm going to talk about cyber security, which is a big issue and really affects all of these other areas"
228,1," As well so what do we mean when we say mobile financial services? Well, I define it as any financial activity using any mobile device, such as a cell phone or a tablet or whatever device is invented in the future, because I'm sure someone will come up with something else and it allows bank customers to obtain account information to transfer Funds and even sometimes pay bills"
229,1, It'S estimated that mobile phones will be the payment method of choice for over 50 million consumers worldwide the market
230,1," In 2011, the market was 11 and a half billion dollars"
231,1, This is expected to grow
232,1," The main technology that's used currently is FC technology, near-field communications, which we'll talk about in a minute, but there are other technologies as well now, initially, to give you a little history"
233,1," Payments in mobile phones were made through text messaging, but this would sometimes be slow and unreliable and hence could not be relied upon for making larger payments"
234,1, This led to the development of near-field communications
235,1," There we go okay, so NFC technology has enabled the exchange of data between advices using existing infrastructure, which was already in place for payments"
236,1," It can also work when the devices are turned off, which is similar to a credit card right that you don't need power in order to make the payment"
237,1, It has a very short range about four inches
238,1," He uses a iso/iec 1 for 43 standard, which is a for proximity cards, contactless cards and also RFID, and it really kind of combines the interface of a smart card and a reader into a single device"
239,1, It'S currently aimed at being used with mobile phones
240,1," It'S used for card emulation, simulates a smart card"
241,1," It can be used as a reader and read passive, RFID tags, and it also communicates directly with another NFC device so that they're, exchanging information current uses include electronic ticketing, electronic money, travel cards, identity documents, mobile commerce, paying for your Starbucks or your new blue jeans"
242,1," They can also be used for electronic keys, your car key, your house key hotel room and it can be used to configure other wireless devices or other wireless connections such as Bluetooth, Wi-Fi or ultra wideband, there's, currently a patent licensing program by via licensing corporation"
243,1," If you want to use NFC in a device or in software, it's good to go there and check out the different licensing options"
244,1," There'S a public platform for NFC, that's released under the GNU open-source license"
245,1, It'S called Li B at FC org now NFC is when I compare it
246,1," Some other another technology was out there, which is Bluetooth right"
247,1," Afc is is finding strength in the marketplace because of it has certain advantages over Bluetooth as a shorter set-up time, it's easier to configure the transfer data transfer rate is slower, but there's in payments is very little data that needs to be transferred to certain data points That need to go, but it's that you're not transferring data"
248,1, It takes as much data to transfer $ 1 as it takes to transfer $ 100
249,1," Nfc has a shorter range than Bluetooth, which makes it a little more secure"
250,1," It'S suitable for crowded areas where getting a right signal for the right device can sometimes be difficult, and it's consistent with RFID, which means you don't always need the battery"
251,1, As we mentioned it can be used when the device is turned off
252,0," Now there are some drawbacks: NFC can be hacked, it offers no protection against eavesdropping, that it can be vulnerable to data modifications and there can be other attacks as well"
253,1, The the RF signal for the wireless data transfer can be picked up with antennas and it's able Packers are able to eavesdrop from various distances
254,0," So it's not always easy to tell if your mobile phone is being hacked, there's no written another way it can be hacked"
255,0," Is data can be destroyed and modified, so really is there's no and there's a really no way to prevent that attack"
256,1," You can check and use NFC to check the field while they're sending it, but that might might detect it"
257,1, It might not
